HR_UID,nameid,province,region,analysisTime,dates,compute_time,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,lastObsDate,cuminf_50,underasc_50,pointprevalence_pred7d_025,pointprevalence_pred7d_50,pointprevalence_pred7d_975,pointprevalence_pred14d_025,pointprevalence_pred14d_50,pointprevalence_pred14d_975
4833,CanadaAlbertaCentral,Alberta,Central,2021-12-10 07:10:15.331642,2021-12-10 00:00:00.000000,3:02:25.933123,0.25925891,0.42110598,0.72420136,1241,2016,3468,2021-12-09,62.00751515,12.89901522,0.15432062,0.32408683,0.71239875,0.09168696,0.25872791,0.63034378
4834,CanadaAlbertaEdmonton,Alberta,Edmonton,2021-12-10 07:24:29.695513,2021-12-10 00:00:00.000000,3:16:43.316214,0.13522578,0.25838617,0.58735251,1976,3776,8583,2021-12-09,63.16604069,9.89927927,0.09917510,0.25264670,0.70199570,0.07299789,0.23637148,0.99884460
4835,CanadaAlbertaNorth,Alberta,North,2021-12-10 07:24:53.643978,2021-12-10 00:00:00.000000,3:17:11.456849,0.20830550,0.39781129,0.70577925,965,1843,3270,2021-12-09,71.78445931,10.95545394,0.12098644,0.27628388,0.53452949,0.06938782,0.19376698,0.44858999
4831,CanadaAlbertaSouth,Alberta,South,2021-12-10 07:03:13.552021,2021-12-10 00:00:00.000000,2:55:29.666249,0.11083988,0.21831954,0.51092479,362,713,1668,2021-12-09,43.27697834,10.31309140,0.07018924,0.15899263,0.41141008,0.04099692,0.11507423,0.35173292
591,CanadaBCFraser,BC,Fraser,2021-12-07 19:13:11.093606,2021-12-07 00:00:00.000000,4:18:43.392070,0.14885879,0.49019829,1.32055554,2737,9015,24285,2021-12-06,76.95258143,11.01708058,0.10182356,0.44542280,1.15168380,0.08007416,0.41633122,0.98694394
592,CanadaBCInterior,BC,Interior,2021-12-07 19:20:20.242761,2021-12-07 00:00:00.000000,4:27:35.386202,0.29724972,0.41146223,0.52861146,2112,2924,3757,2021-12-06,32.79078669,11.99375386,0.22608211,0.32830766,0.43313320,0.17138363,0.26109153,0.35320549
593,CanadaBCIsland,BC,Island,2021-12-10 07:21:53.896864,2021-12-10 00:00:00.000000,3:14:34.025268,0.91893155,1.85825042,3.16851469,6845,13843,23604,2021-12-09,13.60473703,13.24606910,0.72979782,1.76320242,3.55244323,0.56365471,1.59838367,4.14049589
999001,CanadaVancouverIslandSouthVancouverIsland,Vancouver Island,South Vancouver Island,2021-12-10 07:23:08.884027,2021-12-10 00:00:00.000000,3:15:54.974957,0.23879372,0.43326933,0.66783426,996,1808,2787,2021-12-07,7.23229606,13.97084524,0.21160300,0.43461435,0.75072842,0.17800119,0.41593534,0.84859124
999002,CanadaVancouverIslandCentralVancouverIsland,Vancouver Island,Central Vancouver Island,2021-12-10 07:27:26.072979,2021-12-10 00:00:00.000000,3:20:27.200872,0.85303368,1.30072903,1.84603078,2506,3821,5423,2021-12-07,11.44089292,12.84461347,0.76975811,1.27557715,1.95410537,0.56210739,1.16207437,2.25983384
999003,CanadaVancouverIslandNorthVancouverIsland,Vancouver Island,North Vancouver Island,2021-12-10 07:46:59.510477,2021-12-10 00:00:00.000000,2:01:05.147240,2.18955257,3.29338465,5.03804465,2893,4351,6656,2021-12-07,5.84589389,11.20494416,1.90351154,3.28817183,6.21676315,1.63440619,3.44475853,7.69774935
594,CanadaBCNorthern,BC,Northern,2021-12-07 19:04:01.878818,2021-12-07 00:00:00.000000,4:10:18.542982,0.92715971,1.30241447,1.51589096,2648,3720,4330,2021-12-06,58.53347424,13.37910316,0.66925488,1.02380468,1.24909674,0.47891411,0.79796432,1.01638221
595,CanadaBCVancouverCoastal,BC,Vancouver Coastal,2021-12-10 07:33:11.473045,2021-12-10 00:00:00.000000,3:26:34.342453,0.15942985,0.53445327,0.56964540,1903,6380,6800,2021-12-09,54.09220492,12.27873643,0.14033557,0.48441210,0.70552182,0.12346741,0.43610289,0.86703873
4603,CanadaManitobaInterlake-Eastern,Manitoba,Interlake-Eastern,2021-12-10 06:41:04.413766,2021-12-10 00:00:00.000000,2:34:39.492277,0.77520321,1.31051597,1.95884870,1341,2267,3389,2021-12-09,21.61959073,12.08596615,0.69926289,1.48425270,2.67822103,0.59243024,1.62866185,3.52622796
4604,CanadaManitobaNorthern,Manitoba,Northern,2021-12-10 07:07:02.910026,2021-12-10 00:00:00.000000,3:00:44.981380,1.38454700,1.89317070,2.38207915,1071,1464,1843,2021-12-09,81.11784722,8.42991274,1.20695862,1.66820506,2.41456174,1.02517927,1.43638072,2.38507545
4602,CanadaManitobaPrairieMountain,Manitoba,Prairie Mountain,2021-12-10 06:43:24.007063,2021-12-10 00:00:00.000000,2:37:02.341662,0.96719564,1.65416323,2.54032666,1373,2349,3608,2021-12-09,26.62650041,11.80051500,1.05739138,1.74361819,2.67651001,0.92393668,1.70761946,3.01460353
